Adj_English,Adj_German,Parts_German,Idiom_English,Idiom_German,Categories
beige,beige,,,,Color
black,schwarz,,,,Color
blue,blau,,,,Color
bright,hell,,,,Visual
brown,braun,,,,Color
dunkel,dark,,,,Visual
emerald green,smaragdgrün,,Smaragd|grün,,Color
gold,gold,,,,Color
green,grün,,,,Color
lilac,lila,,,,Color
lilac,lilafarbig,,lila|Farbe,,Color
pink,rosa,,,,Color
pink,rosafarbig,,rosa|Farbe,,Color
purple,purpur,,,,Color
red,rot,,,,Color
silver,silver,,,,Color
tan,hellbraun,,hell|braun,,Color
turquoise,türkis,,,,Color
violet,violett,,,,Color
white,weiß,,,,Color
yellow,gelb,,,,Color
