Adj_English,Adj_German,Parts_German,Idiom_English,Idiom_German,Categories
adept,geschickt,,,,Physical|Trait
afraid,ängstlich,,,,Emotion
afraid,besorgt,,,,Emotion
agile,gewandt,,,,Character|Physical|Trait
ambitious,ehrgeizig,,,,Character|Personality|Trait
ambivalent,ambivalent,,,,Character|Personality|Trait
amused,belustigt,,,,Emotion|Feeling
annoyed,ärgerlich,,,,Emotion|Feeling
annoyed,verärgert,,,,Emotion|Feeling
apprehensive,besorgt,,,,Emotion|Feeling|Trait
athletic,athletisch,,,,Aptitude|Sport||Physical|Trait
awkward,unbeholfen,,,,Aptitude|Physical|Trait
beige,beige,,,,Color
bitter,bitter,,,,Emotion|Feeling|Trait
black,schwarz,,,,Color
blue,blau,,,,Color
brave,mutig,,,,Character|Personality|Trait
brave,tapfer,,,,Character|Personality|Trait
brave,kühn,,,,Character|Personality|Trait
bright,hell,,,,Visual
brown,braun,,,,Color
calm,still,,,,Emotion|Feeling
calm,ruhig,,,,Emotion|Feeling
clever,schlau,,,,Trait|Aptitude
close,dicht,,,,dimension
close,nah,,,,dimension
clumsy,schwerfällig,,,,Character|Physical|Trait
clumsy,ungeschickt,,,,Character|Physical|Trait
competent,kompetent,,,,Trait|Aptitude
competent,fähig,,,,Trait|Aptitude
confused,verwirrt,,,,Feeling|Physical|Trait
content,zufrieden,,,,Character|Personality|Trait
cowardly,feig,,,,Character|Personality|Trait
cowardly,feige,,,,Character|Personality|Trait
cowardly,zaghaft,,,,Character|Personality|Trait
cranky,launisch,,,,Emotion|Feeling|Trait
deep,tief,,,,dimension
depressed,deprimiert,,,,Emotion|Feeling
depressed,niedergeschlagen,,,,Emotion|Feeling
dissatisfied,unzufrieden,,,,Emotion|Feeling
dunkel,dark,,,,Visual
emerald green,smaragdgrün,Smaragd|grün,,,Color
excited,aufgeregt,,,,Emotion|Feeling
excited,gereizt,,,,Emotion|Feeling
famished,verhungert,,,,Feeling|Physical|Trait
far,weit,,,,dimension
far,fern,,,,dimension
focused,fixiert,,,,Character|Personality|Trait
forgiving,nachsichtig,,,,Emotion|Feeling|Trait
forgiving,nachsichtig,,,,Emotion|Feeling|Trait
frightened,erschrocken,,,,Emotion
frightened,bang,,,,Emotion
frightened,bange,,,,Emotion
gold,gold,,,,Color
green,grün,,,,Color
happy,glücklich,,,,Emotion
happy,zufrieden,,,,Emotion
happy,erfreut,,,,Emotion
happy,froh,,,,Emotion
high,hoch,,,,dimension
horny,geil,,,,Emotion|Feeling
hungry,hungrig,,,,Feeling|Physical|Trait
incompetent,unfähig,,,,Trait|Aptitude
indignant,empört,,,,Emotion|Feeling|Trait
intelligent,intelligent,,,,Trait|Aptitude
irritated,genervt,,,,Emotion|Feeling
irritated,gereizt,,,,Emotion|Feeling
jolly,lustig,,,,Character|Personality|Trait
judgemental,beurteilend,,,,Character|Personality|Trait
lazy,faul,,,,Character|Personality|Trait
lilac,lila,,,,Color
lilac,lilafarbig,lila|Farbe,,,Color
low,tief,,,,dimension
mean,gemein,,,,Character|Personality|Trait
mean,fies,,,,Character|Personality|Trait
mean,garstig,,,,Character|Personality|Trait
motivated,motiviert,,,,Character|Personality|Trait
narrow,schmal,,,,dimension
narrow,eng,,,,dimension
narrow,knapp,,,,dimension
nice,nett,,,,Character|Personality|Trait
nice,nett,,,,Character|Personality|Trait
open-minded,aufgeschlossen,,,,Character|Personality|Trait
overjoyed ,hocherfreut,,,,Emotion
pink,rosa,,,,Color
pink,rosafarbig,rosa|Farbe,,,Color
purple,purpur,,,,Color
red,rot,,,,Color
resentful,versöhnlich,,,,Emotion|Feeling|Trait
sad,traurig,,,,Emotion|Feeling
sad,betrübt,,,,Emotion|Feeling
satisfied,zufrieden,,,,Emotion|Feeling
satisfied,befriedigt,,,,Emotion|Feeling
serene,gelassen,,,,Emotion|Feeling|Trait
shallow,flach,,,,dimension
shallow,seicht,,,,dimension
short,klein,,,,dimension
silver,silver,,,,Color
smart,klug,,,,Trait|Aptitude
strong,stark,,,,Feeling|Physical|Trait
strong,kraftvoll,,,,Feeling|Physical|Trait
stupid,dumm,,,,Trait|Aptitude
stupid,blöd,,,,Trait|Aptitude
stupid,blöde,,,,Trait|Aptitude
tall,groß,,,,dimension
tan,hellbraun,hell|braun,,,Color
thirsty,durstig,,,,Feeling|Physical|Trait
turquoise,türkis,,,,Color
vast,riesig,,,,dimension
vast,enorm,,,,dimension
vast,gewaltig,,,,dimension
vindictive,rachsüchtig,,,,Emotion|Feeling|Trait
violet,violett,,,,Color
weak,schwach,,,,Feeling|Physical|Trait
white,weiß,,,,Color
wide,breit,,,,dimension
yellow,gelb,,,,Color
