Noun_English,Plural_English,Noun_German,Gender_German,Plural_German,Parts_German,Idiom_English,Idiom_German,Categories
bicycle|bike,s|s,Fahrrad|,n,ä-er,"Fahr,Rad",,,Sport|Fitness|Health|Transportation
bike,s,Drahtesel,m,-,"Draht,Esel",,,Sport|Fitness|Health|Transportation
calisthenics,pl,Fitness-Übung,f,en,,,,Sport|Fitness|Health
common sense,sing,Menschenverstand,m,sing,,,,Aptitude
exercise,s,Bewegung,f,en,,,,Sport|Fitness|Health
fool,s,Narr,m,en,,,,Aptitude
fool,s,Närrin,f,en,,,,Aptitude
genius,es,Genie,n,s,,,,Aptitude
half-wit,s,Tor,m,en,,,,Aptitude
idiot,s,Trottel,m,-,,,,Aptitude
intelligence,sing,Intelligenz,f,sing,,,,Aptitude
motorcycle,s,Motorrad,n,ä-er,"Motor,Rad",,,Sport|Transportation
motorcycle,s,Krad,m,ä-er,,,,Sport|Transportation
movement,s,Bewegung,f,en,,,,Political|Social
understanding,sing,Verstand,m,sing,,,,Aptitude
workout,s,Training,n,s,,,,Sport|Fitness|Health
